arquivo;header_1;header_2;header_3;header_4;header_5;header_6;header_7;header_8;header_9;header_10;header_11;header_12;header_13;header_14;header_15;header_16;header_17;header_18;header_19;header_20;header_21;header_22;header_23;header_24;header_25;header_26;header_27;header_28;header_29;header_30;header_31;header_32;header_33;header_34
ResourceStats_SPPNBRK_SPPNT016_CICS.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_RequestSuccess;summary_RequestFailures;summary_RequestSecurityFailures;summary_ConnectionAttemptFailures;;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_CORBA.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_OutboundInvocations;summary_OutboundSuccessfulInvocations;summary_OutboundCorbaExceptions;;;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_ConnectDirect.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_InboundTransfers;summary_InboundBytes;summary_NoHitTransfers;summary_OutboundTransfers;summary_OutboundBytes;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_FTEAgent.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_InboundTransfers;summary_InboundBytes;summary_OutboundTransfers;summary_OutboundBytes;;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_FTP.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_FTPGets;summary_BytesReceived;summary_FTPPuts;summary_BytesSent;summary_Protocol;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_File.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_FilesRead;summary_RecordsRead;summary_BytesRead;summary_FilesCreated;summary_RecordsWritten;summary_BytesWritten;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_GlobalCache.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_TotalMapActions;summary_MapReads;summary_MapWrites;summary_MapRemoves;summary_FailedActions;summary_MapsUsed;summary_ConnectionFailures;summary_Connects;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_JDBCConnectionPools.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_NameOfJDBCProvider;summary_MaxSizeOfPool;summary_ActualSizeOfPool;summary_CumulativeRequests;summary_CumulativeDelayedRequests;summary_CumulativeTimedOutRequests;summary_MaxDelayInMilliseconds;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_JMS.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_NumberOfOpenJMSConnections;summary_NumberOfClosedJMSConnections;summary_NumberOfOpenJMSSessions;summary_NumberOfClosedJMSSessions;summary_NumberOfMessagesReceived;summary_NumberOfMessagesSent;summary_NumberOfMessagesBrowsed;summary_NumberOfJMSConnectionFailures;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_JVM.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_InitialMemoryInMB;summary_UsedMemoryInMB;summary_CommittedMemoryInMB;summary_MaxMemoryInMB;summary_CumulativeGCTimeInSeconds;summary_CumulativeNumberOfGCCollections;Heap Memory_InitialMemoryInMB;Heap Memory_UsedMemoryInMB;Heap Memory_CommittedMemoryInMB;Heap Memory_MaxMemoryInMB;Non-Heap Memory_InitialMemoryInMB;Non-Heap Memory_UsedMemoryInMB;Non-Heap Memory_CommittedMemoryInMB;Non-Heap Memory_MaxMemoryInMB;Garbage Collection - scavenge_CumulativeGCTimeInSeconds;Garbage Collection - scavenge_CumulativeNumberOfGCCollections;Garbage Collection - global_CumulativeGCTimeInSeconds;Garbage Collection - global_CumulativeNumberOfGCCollections;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_MQTT.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_BytesReceived;summary_BytesSent;summary_ClosedConnections;summary_FailedConnections;summary_MessagesReceived;summary_MessagesSent;summary_OpenConnections;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_ODBC.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_ExecuteSuccess;summary_ExecuteFailure;summary_ActiveConnections;summary_ClosedConnections;summary_ConnectionErrors;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_Parsers.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_Threads;summary_ApproxMemKB;summary_MaxReadKB;summary_MaxWrittenKB;summary_Fields;summary_Reads;summary_FailedReads;summary_Writes;summary_FailedWrites;[Deleted]_Threads;[Deleted]_ApproxMemKB;[Deleted]_MaxReadKB;[Deleted]_MaxWrittenKB;[Deleted]_Fields;[Deleted]_Reads;[Deleted]_FailedReads;[Deleted]_Writes;[Deleted]_FailedWrites;[Administration]_Threads;[Administration]_ApproxMemKB;[Administration]_MaxReadKB;[Administration]_MaxWrittenKB;[Administration]_Fields;[Administration]_Reads;[Administration]_FailedReads;[Administration]_Writes;[Administration]_FailedWrites
ResourceStats_SPPNBRK_SPPNT016_SOAPInput.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_InboundMessagesTotal;summary_RepliesSentTotal;summary_InboundMessagesMadeFlow;summary_InboundMessagesFaultedBeforeFlow;summary_SuccessfulRepliesSent;summary_FaultRepliesSent;summary_PolicySetApplied;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_Security.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_TotalCacheEntries;summary_TotalOperations;summary_TotalSuccessfulOperations;summary_TotalOperationsServicedByCache;;;;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_Sockets.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_TotalSockets;summary_TotalMessages;summary_TotalDataSent_KB;summary_TotalDataReceived_KB;summary_SentMessageSize_0-1KB;summary_SentMessageSize_1KB-10KB;summary_SentMessageSize_10KB-100KB;summary_SentMessageSize_100KB-1MB;summary_SentMessageSize_1MB-10MB;summary_SentMessageSize_Over10MB;summary_ReceivedMessageSize_0-1KB;summary_ReceivedMessageSize_1KB-10KB;summary_ReceivedMessageSize_10KB-100KB;summary_ReceivedMessageSize_100KB-1MB;summary_ReceivedMessageSize_1MB-10MB;summary_ReceivedMessageSize_Over10MB;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_TCPIPClientNodes.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_OpenConnections;summary_ClosedConnections;summary_MessagesReceived;summary_MessagesSent;summary_BytesReceived;summary_BytesSent;summary_FailedConnections;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_TCPIPServerNodes.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_OpenConnections;summary_ClosedConnections;summary_MessagesReceived;summary_MessagesSent;summary_BytesReceived;summary_BytesSent;summary_FailedSSLConnections;;;;;;;;;;;;;;;;;;;;
ResourceStats_SPPNBRK_SPPNT016_XA.txt;BrokerName;BrokerUUID;ExecutionGroupLabel;ExecutionGroupUUID;CollectionTimestamp;StartTimestamp;EndTimeStamp;summary_NumberOfCommits;summary_NumberOfRollbacks;;;;;;;;;;;;;;;;;;;;;;;;;